============================================================
QUERIES SEARCHED LOG  |  2025-07-21 19:10:39
============================================================
Total Queries: 678

No.   Query                                                        Mode  
--------------------------------------------------------------------------------
614   Wyoming store fire                                           live  
615   Wyoming commercial fire                                      top   
616   Wyoming commercial fire                                      live  
617   Wyoming restaurant fire                                      top   
618   Wyoming restaurant fire                                      live  
619   Wyoming warehouse fire                                       top   
620   Wyoming warehouse fire                                       live  
621   Wyoming business fire                                        top   
622   Wyoming business fire                                        live  
623   Wyoming pipe burst                                           top   
624   Wyoming pipe burst                                           live  
625   DC house fire                                                top   
626   DC house fire                                                live  
627   DC apartment complex                                         top   
628   DC apartment complex                                         live  
629   DC store fire                                                top   
630   DC store fire                                                live  
631   DC commercial fire                                           top   
632   DC commercial fire                                           live  
633   DC restaurant fire                                           top   
634   DC restaurant fire                                           live  
635   DC warehouse fire                                            top   
636   DC warehouse fire                                            live  
637   DC business fire                                             top   
638   DC business fire                                             live  
639   DC pipe burst                                                top   
640   DC pipe burst                                                live  
641   from:DFWscanner                                              top   
642   from:DFWscanner                                              live  
643   from:DallasTexasTV                                           top   
644   from:DallasTexasTV                                           live  
645   from:NWSSanAntonio                                           top   
646   from:NWSSanAntonio                                           live  
647   from:FriscoFFD                                               top   
648   from:FriscoFFD                                               live  
649   from:RedCrossTXGC                                            top   
650   from:RedCrossTXGC                                            live  
651   from:whatsupTucson                                           top   
652   from:whatsupTucson                                           live  
653   from:WacoTXFire                                              top   
654   from:WacoTXFire                                              live  
655   from:SouthMetroPIO                                           top   
656   from:SouthMetroPIO                                           live  
657   from:NWSBoulder                                              top   
658   from:NWSBoulder                                              live  
659   from:SeattleFire                                             top   
660   from:SeattleFire                                             live  
661   from:CityofMiamiFire                                         top   
662   from:CityofMiamiFire                                         live  
663   from:PeterNewcomb41                                          top   
664   from:PeterNewcomb41                                          live  
665   from:ffxfirerescue                                           top   
666   from:ffxfirerescue                                           live  
667   from:ScannerRadioDFW                                         top   
668   from:ScannerRadioDFW                                         live  
669   from:sfgafirerescue                                          top   
670   from:sfgafirerescue                                          live  
671   from:THEJFRD                                                 top   
672   from:THEJFRD                                                 live  
673   from:ChicagoMWeather                                         top   
674   from:ChicagoMWeather                                         live  
675   from:ToledoFire                                              top   
676   from:ToledoFire                                              live  
677   from:AustinFireInfo                                          top   
678   from:AustinFireInfo                                          live  
